No,Nama Mahasiswa,Kampus,Prodi,Semester (1-6),Jam Tidur (0-11),Jam Bangun (0-12),Rata-Rata Screentime (0-18),Punya Pacar (Ya atau Tidak),Fekuensi Malam Minggu (0-3),Bermain Judol (Ya atau Tidak),Waktu Belajar (0-12),Pekerjaan Sampingan (Ya atau Tidak),IPK
19,Corresponden 19,Universitas 18,Pendidikan Kimia,2,22:00:00,4:00:00,4,Tidak,3,Tidak,5,Tidak,3.46
20,Corresponden 20,Universitas 19,Teknik Elektronika,4,21:00:00,10:00:00,6,Ya,3,Tidak,5,Tidak,3.54
21,Corresponden 21,Universitas 20,Keperawatan,2,23:00:00,4:00:00,6,Ya,2,Tidak,5,Tidak,3.8
22,Corresponden 22,Universitas 21,Kewirausahaan,2,21:00:00,5:00:00,4,Tidak,2,Tidak,7,Tidak,3.97
23,Corresponden 23,Universitas 22,Teknik Informatika,2,0:00:00,5:00:00,2,Tidak,1,Tidak,5,Tidak,3.93
24,Corresponden 24,Universitas 23,Sistem Informasi,2,23:00:00,5:00:00,4,Tidak,1,Ya,5,Tidak,3.5
25,Corresponden 25,Universitas 24,Teknik Informatika,2,0:00:00,5:00:00,6,Ya,1,Tidak,5,Ya,3.61
26,Corresponden 26,Universitas 13,Teknik elektronika,4,23:00:00,5:00:00,7,Ya,1,Tidak,1,Ya,3.2
27,Corresponden 27,Universitas 25,Akuntansi Perpajakan,6,23:00:00,5:00:00,4,Tidak,2,Tidak,1,Ya,3
28,Corresponden 28,Universitas 26,PAI,3,22:00:00,5:00:00,8,Tidak,0,Tidak,3,Tidak,3.7
29,Corresponden 29,Universitas 27,Sistem Informasi,2,21:00:00,4:00:00,6,Ya,1,Tidak,2,Tidak,3.65
30,Corresponden 30,Universitas 11,Teknik Industri Otomotif,2,0:00:00,5:00:00,6,Tidak,1,Tidak,5,Ya,3.18
31,Corresponden 31,Universitas 28,Hubungan Internasional,7,1:00:00,8:00:00,11,Tidak,2,Ya,1,Tidak,3.5
32,Corresponden 32,Universitas 29,Gizi,2,22:00:00,4:00:00,5,Tidak,1,Tidak,5,Tidak,3.44
33,Corresponden 33,Universitas 30,Kedokteran,2,23:00:00,6:00:00,10,Tidak,1,Tidak,5,Tidak,3.5
34,Corresponden 34,Universitas 31,Farmasi,8,22:00:00,5:00:00,6,Ya,1,Tidak,9,Ya,3.64
35,Corresponden 35,Universitas 29,Pendidikan Kepelatihan Olahraga,4,22:00:00,5:00:00,8,Tidak,1,Tidak,5,Tidak,3.75
36,Corresponden 36,Universitas 27,Teknik Elektro,1,23:00:00,7:00:00,4,Ya,1,Tidak,1,Ya,3.5
37,Corresponden 37,Universitas 32,Ilmu Administrasi,2,23:00:00,3:00:00,5,Ya,1,Tidak,3,Tidak,3.81
38,Corresponden 38,Universitas 33,Public Relations,2,23:00:00,5:00:00,6,Tidak,1,Tidak,5,Tidak,3.88
39,Corresponden 39,Universitas 34,Sistem Informasi,10,1:00:00,8:00:00,5,Ya,3,Tidak,1,Ya,3.67
40,Corresponden 40,Universitas 18,Ilmu Komunikasi,2,23:00:00,6:00:00,4,Tidak,2,Tidak,1,Tidak,3.6
41,Corresponden 41,Universitas 27,Teknik Informatika,2,1:00:00,6:00:00,4,Tidak,2,Tidak,3,Ya,3.25
42,Corresponden 42,Universitas 35,Relasi Industri,6,21:00:00,5:00:00,4,Tidak,0,Tidak,7,Tidak,3.66
43,Corresponden 43,Universitas 30,Kedokteran,2,23:00:00,5:00:00,3,Tidak,1,Tidak,5,Tidak,3.5
44,Corresponden 44,Universitas 36,Teknik Sipil,1,21:00:00,5:00:00,9,Tidak,0,Tidak,2,Ya,3.79
45,Corresponden 45,Universitas 37,Sistem Informasi,4,0:00:00,6:00:00,3,Tidak,1,Tidak,1,Tidak,3.5
46,Corresponden 46,Universitas 38,Ilmu Hukum,6,21:00:00,4:00:00,4,Ya,2,Tidak,3,Ya,3.31
47,Corresponden 47,Universitas 39,Sistem Informasi,2,23:00:00,5:00:00,3,Ya,1,Tidak,3,Ya,3.5
48,Corresponden 48,Universitas 40,Teknik Elektro,2,22:00:00,6:00:00,10,Ya,1,Tidak,1,Tidak,3.3
49,Corresponden 49,Universitas 6,Teknik Dirgantara,4,0:00:00,8:00:00,2,Ya,3,Tidak,7,Ya,3.85
50,Corresponden 50,Universitas 18,Film dan Televisi,2,23:00:00,5:00:00,4,Ya,3,Tidak,3,Tidak,3.88
51,Corresponden 51,Universitas 33,Fisioterapi,4,2:00:00,5:00:00,12,Tidak,1,Tidak,9,Tidak,3.97
52,Corresponden 52,Universitas 41,Pendidikan Guru Sekolah Dasar,2,22:00:00,4:00:00,6,Tidak,1,Tidak,5,Tidak,3.65
53,Corresponden 53,Universitas 42,Teknik Sipil,2,23:00:00,7:00:00,4,Tidak,1,Tidak,5,Tidak,3.15
54,Corresponden 54,Universitas 43,Teknik Informatika,2,22:00:00,7:00:00,9,Tidak,2,Tidak,5,Tidak,4
55,Corresponden 55,Universitas 12,Fakultas Ekonomi dan Bisnis,2,23:00:00,8:00:00,10,Tidak,1,Tidak,3,Ya,2.25
56,Corresponden 56,Universitas 30,Akuntansi,4,23:00:00,5:00:00,5,Tidak,1,Tidak,5,Tidak,3.54
57,Corresponden 57,Universitas 33,Fisioterapi,4,22:00:00,5:00:00,5,Tidak,0,Tidak,3,Tidak,3.96
58,Corresponden 58,Universitas 44,Keperawatan,4,23:00:00,6:00:00,12,Tidak,3,Tidak,5,Tidak,3.45
59,Corresponden 59,Universitas 27,Teknik Elektro,2,0:00:00,5:00:00,6,Tidak,2,Tidak,3,Ya,3.88
60,Corresponden 60,Universitas 45,Sistem Informasi,2,23:00:00,5:00:00,18,Tidak,1,Tidak,5,Tidak,4
61,Corresponden 61,Universitas 44,Kesehatan Masyarakat,2,23:00:00,7:00:00,6,Tidak,1,Tidak,9,Tidak,3.7
62,Corresponden 62,Universitas 46,Tekhnologi Laboratorium Media,4,0:00:00,6:00:00,2,Tidak,3,Tidak,7,Tidak,3.59
63,Corresponden 63,Universitas 11,Teknik Kimia Polimer,2,23:00:00,3:00:00,4,Tidak,1,Tidak,9,Ya,3.5
64,Corresponden 64,Universitas 47,Farmasi,4,22:00:00,5:00:00,3,Tidak,2,Tidak,4,Tidak,3.64
65,Corresponden 65,Universitas 48,Hadis dan Ilmu Hadis,2,22:00:00,3:00:00,4,Tidak,3,Tidak,5,Tidak,3.55
66,Corresponden 66,Universitas 49,Pendidikan Agama Islam,8,23:00:00,3:00:00,4,Tidak,0,Tidak,5,Tidak,3.78
67,Corresponden 67,Universitas 11,Sistem Informasi Industri Otomotif,2,1:00:00,4:00:00,5,Tidak,1,Tidak,5,Ya,3.2
68,Corresponden 68,Universitas 50,Manajemen,6,0:00:00,8:00:00,5,Tidak,1,Tidak,7,Ya,3.15
69,Corresponden 69,Universitas 51,Peternakan,2,21:00:00,5:00:00,4,Tidak,1,Tidak,2,Tidak,3.8
70,Corresponden 70,Universitas 52,Teknik Elektro,4,22:00:00,4:00:00,6,Tidak,0,Tidak,1,Tidak,3.55
71,Corresponden 71,Universitas 53,Teknik Industri,2,22:00:00,4:00:00,5,Ya,3,Tidak,3,Ya,3.4
72,Corresponden 72,Universitas 54,ilmu komunikasi,1,0:00:00,7:00:00,12,Ya,1,Tidak,1,Tidak,3.1
73,Corresponden 73,Universitas 27,Teknik Informatika,2,0:00:00,6:00:00,6,Ya,2,Tidak,1,Ya,3.12
74,Corresponden 74,Universitas 55,Pendidikan Agama Islam,3,23:00:00,5:00:00,4,Tidak,0,Tidak,3,Tidak,3.94
75,Corresponden 75,Universitas 56,Teknik Lingkungan,2,23:00:00,6:00:00,5,Tidak,1,Tidak,4,Tidak,3.5
76,Corresponden 76,Universitas 57,Sistem Informasi,8,22:00:00,5:00:00,12,Ya,3,Tidak,1,Ya,3.89
77,Corresponden 77,Universitas 9,Sistem Informasi,2,1:00:00,5:00:00,5,Tidak,2,Tidak,9,Tidak,3.18
78,Corresponden 78,Universitas 17,Ilmu administrasi,4,22:00:00,6:00:00,7,Ya,0,Tidak,1,Tidak,3.78
79,Corresponden 79,Universitas 58,Manajemen Dakwah,2,23:00:00,5:00:00,4,Tidak,1,Tidak,3,Tidak,3.89
80,Corresponden 80,Universitas 59,Kajian Film Televisi dan Media,2,22:00:00,5:00:00,7,Ya,1,Tidak,5,Ya,3.9
81,Corresponden 81,Universitas 39,Pendidikan Guru Sekolah Dasar,8,22:00:00,4:00:00,6,Ya,1,Tidak,3,Ya,3.4
82,Corresponden 82,Universitas 18,Pendidikan Gambar Bangunan,2,22:00:00,4:00:00,3,Ya,2,Tidak,3,Tidak,3.88
83,Corresponden 83,Universitas 60,Teknik Boga,2,22:00:00,5:00:00,5,Tidak,1,Tidak,4,Tidak,3.51
84,Corresponden 84,Universitas 38,Ilmu Hukum,6,22:00:00,5:00:00,5,Ya,1,Tidak,5,Ya,3.68
85,Corresponden 85,Universitas 40,Hubun Internasional,6,0:00:00,4:00:00,9,Ya,3,Tidak,3,Tidak,3.35
86,Corresponden 86,Universitas 61,Sains Data,8,23:00:00,6:00:00,4,Ya,1,Tidak,9,Tidak,3
87,Corresponden 87,Universitas 33,Marketing Communication,6,23:00:00,6:00:00,2,Tidak,1,Tidak,5,Tidak,3
88,Corresponden 88,Universitas 54,Ilmu Komunikasi,2,0:00:00,5:00:00,6,Tidak,1,Tidak,3,Tidak,3.75
89,Corresponden 89,Universitas 62,Teknik Informatika,2,1:00:00,4:00:00,4,Tidak,2,Tidak,7,Tidak,3.72
90,Corresponden 90,Universitas 50,Komunikasi Strategis,2,2:00:00,8:00:00,6,Tidak,0,Tidak,7,Tidak,3.84
91,Corresponden 91,Universitas 27,Matematika,2,22:00:00,5:00:00,8,Tidak,1,Tidak,5,Ya,3.63
92,Corresponden 92,Universitas 63,Keperawatan Umum,4,22:00:00,5:00:00,3,Ya,0,Tidak,5,Tidak,3.74
93,Corresponden 93,Universitas 64,Ilmu komunikasi,8,23:00:00,5:00:00,6,Ya,1,Tidak,7,Ya,3.64
94,Corresponden 94,Universitas 39,Manajemen,3,23:00:00,5:00:00,6,Ya,2,Tidak,1,Ya,2.94
95,Corresponden 95,Universitas 37,Teknik Informatika,3,23:00:00,8:00:00,4,Tidak,0,Tidak,7,Ya,3.7
96,Corresponden 96,Universitas 38,Ilmu Administrasi Negara,7,23:00:00,6:00:00,6,Ya,3,Tidak,5,Ya,2.91
97,Corresponden 97,Universitas 65,Pendidikan Biologi,2,22:00:00,5:00:00,5,Tidak,1,Tidak,3,Tidak,3.8
98,Corresponden 98,Universitas 66,Ilmu Hukum,2,22:00:00,7:00:00,4,Ya,2,Tidak,5,Tidak,3.85
99,Corresponden 99,Universitas 16,Psikologi,2,23:00:00,5:00:00,7,Tidak,2,Tidak,1,Tidak,3.75
100,Corresponden 100,Universitas 67,Software Engineering,5,21:00:00,4:00:00,7,Tidak,1,Tidak,3,Tidak,4
101,Corresponden 101,Universitas 21,Ilmu Komunikasi,2,21:00:00,4:00:00,3,Tidak,3,Tidak,5,Ya,3.63
102,Corresponden 102,Universitas 68,Ekonomi Bisnis,4,0:00:00,6:00:00,5,Ya,1,Tidak,5,Tidak,3
103,Corresponden 103,Universitas 14,Manajemen,8,18:00:00,3:00:00,6,Tidak,0,Tidak,3,Ya,3.58
104,Corresponden 104,Universitas 33,Teknik Informatika,2,23:00:00,5:00:00,6,Tidak,2,Tidak,3,Tidak,3.3
105,Corresponden 105,Universitas 51,Teknik Elektro,2,3:00:00,10:00:00,6,Ya,3,Tidak,3,Tidak,3.4
106,Corresponden 106,Universitas 33,Fisioterapi,4,21:00:00,5:00:00,5,Tidak,1,Tidak,1,Tidak,3.8
107,Corresponden 107,Universitas 69,Manajemen,8,0:00:00,5:00:00,8,Tidak,3,Ya,1,Ya,3.68
108,Corresponden 108,Universitas 51,Ilmu Kelautan,2,22:00:00,4:00:00,6,Ya,2,Tidak,3,Ya,3.85
109,Corresponden 109,Universitas 70,Kebidanan,4,22:00:00,4:00:00,4,Tidak,1,Tidak,3,Tidak,3.82
110,Corresponden 110,Universitas 33,Teknik Informatika,2,22:00:00,5:00:00,4,Ya,1,Ya,7,Tidak,3.75
111,Corresponden 111,Universitas 71,Teknik Elektro,2,23:00:00,5:00:00,3,Tidak,1,Tidak,1,Ya,3
112,Corresponden 112,Universitas 11,Administrasi Bisnis Otomotif,2,23:00:00,8:00:00,5,Ya,1,Tidak,9,Tidak,3.93
113,Corresponden 113,Universitas 27,Teknik Informatika,4,22:00:00,5:00:00,2,Tidak,2,Tidak,9,Tidak,3.52
114,Corresponden 114,Universitas 25,Administrasi Perkantoran,6,22:00:00,5:00:00,4,Tidak,1,Tidak,3,Ya,3.15
115,Corresponden 115,Universitas 54,Pendidikan Bahasa dan Sastra Indonesia,8,1:00:00,10:00:00,5,Tidak,0,Tidak,7,Tidak,4
116,Corresponden 116,Universitas 59,Kajian Film Televisi dan Media,2,21:00:00,5:00:00,2,Ya,1,Tidak,5,Ya,3.9
117,Corresponden 117,Universitas 36,Psikologi,8,22:00:00,4:00:00,5,Tidak,0,Tidak,7,Ya,3.67
118,Corresponden 118,Universitas 44,Farmasi Klinik dan Komunitas,2,23:00:00,6:00:00,2,Ya,1,Tidak,5,Tidak,3.57
119,Corresponden 119,Universitas 21,Farmasi,2,21:00:00,4:00:00,4,Tidak,3,Tidak,5,Tidak,3.78
120,Corresponden 120,Universitas 33,Fisioterapi,4,23:00:00,4:00:00,1,Tidak,1,Tidak,1,Tidak,3.7
121,Corresponden 121,Universitas 72,Pendidikan Bahasa Inggris,2,1:00:00,6:00:00,5,Tidak,2,Tidak,5,Tidak,3.9
122,Corresponden 122,Universitas 59,Bisnis Digital,2,0:00:00,5:00:00,5,Tidak,1,Tidak,5,Ya,3.87
123,Corresponden 123,Universitas 73,Ilmu Komunikasi,4,22:00:00,4:00:00,6,Tidak,1,Tidak,3,Tidak,3.6
124,Corresponden 124,Universitas 74,Teknik Industri,2,1:00:00,5:00:00,6,Tidak,1,Tidak,5,Tidak,3.61
125,Corresponden 125,Universitas 71,Teknik Tenaga Listrik,2,0:00:00,6:00:00,8,Tidak,1,Tidak,1,Tidak,3.15
126,Corresponden 126,Universitas 61,Teknik Geologi,2,2:00:00,10:00:00,6,Tidak,2,Tidak,5,Tidak,3
127,Corresponden 127,Universitas 75,Komunikasi dan Penyiaran Islam,6,23:00:00,4:00:00,5,Tidak,1,Tidak,7,Tidak,3.78
128,Corresponden 128,Universitas 76,Teknik Industri,8,22:00:00,5:00:00,7,Ya,3,Tidak,1,Ya,3.34
129,Corresponden 129,Universitas 77,Sistem Informasi,2,22:00:00,9:00:00,6,Ya,1,Tidak,3,Tidak,3.3
130,Corresponden 130,Universitas 78,Manajemen,2,23:00:00,5:00:00,5,Tidak,2,Tidak,5,Tidak,3.5
131,Corresponden 131,Universitas 27,Manejemen,2,21:00:00,5:00:00,14,Tidak,0,Tidak,1,Tidak,3.4
132,Corresponden 132,Universitas 5,Gizi,2,23:00:00,5:00:00,4,Tidak,1,Tidak,7,Tidak,3.57
133,Corresponden 133,Universitas 64,Pendidikan Ekonomi,8,21:00:00,6:00:00,7,Tidak,1,Tidak,3,Ya,3.55
134,Corresponden 134,Universitas 79,Fakultas Kedokteran,5,23:00:00,5:00:00,7,Ya,2,Tidak,1,Ya,3.7
135,Corresponden 135,Universitas 80,Pendidikan Geografi,8,22:00:00,6:00:00,2,Ya,2,Tidak,7,Ya,3.69
136,Corresponden 136,Universitas 27,Hukum,7,22:00:00,4:00:00,8,Ya,3,Tidak,1,Ya,3.7
137,Corresponden 137,Universitas 37,Akuntansi,2,22:00:00,5:00:00,3,Ya,2,Tidak,3,Tidak,3.45
138,Corresponden 138,Universitas 8,Psikologi,2,23:00:00,4:00:00,3,Ya,2,Tidak,7,Tidak,3.85
139,Corresponden 139,Universitas 51,Teknik Elektro,5,0:00:00,5:00:00,8,Ya,3,Tidak,5,Ya,3.75
140,Corresponden 140,Universitas 54,Ilmu Komunikasi,2,22:00:00,7:00:00,6,Ya,2,Tidak,5,Tidak,3.23
141,Corresponden 141,Universitas 81,Seni Pengolahan Patiseri,4,1:00:00,5:00:00,6,Tidak,1,Tidak,3,Ya,3.55
142,Corresponden 142,Universitas 37,Akuntansi,3,22:00:00,5:00:00,5,Ya,3,Tidak,7,Ya,3.64
143,Corresponden 143,Universitas 18,Rekayasa Perangkat Lunak,2,22:00:00,4:00:00,6,Tidak,1,Tidak,3,Tidak,3.94
144,Corresponden 144,Universitas 82,Pendidikan Agama Islam,8,23:00:00,5:00:00,2,Ya,1,Tidak,9,Ya,3.85
145,Corresponden 145,Universitas 36,Teknik Elektro,2,23:00:00,6:00:00,4,Ya,3,Tidak,4,Tidak,4
146,Corresponden 146,Universitas 6,IT,4,0:00:00,8:00:00,8,Ya,3,Tidak,1,Tidak,3.5
147,Corresponden 147,Universitas 61,Teknik Elektro,6,23:00:00,7:00:00,8,Ya,3,Tidak,1,Ya,3.5
148,Corresponden 148,Universitas 74,Teknik industri,2,23:00:00,5:00:00,6,Ya,1,Tidak,5,Tidak,3.72
149,Corresponden 149,Universitas 29,Ilmu Hukum,2,23:00:00,5:00:00,7,Ya,1,Tidak,5,Tidak,3.58
150,Corresponden 150,Universitas 83,Hukum,2,23:00:00,7:00:00,13,Ya,0,Tidak,5,Ya,3.94
151,Corresponden 151,Universitas 39,Pendidikan Guru Sekolah Dasar,2,23:00:00,4:00:00,5,Ya,1,Tidak,1,Ya,3.51
152,Corresponden 152,Universitas 84,Akuntansi,2,22:00:00,5:00:00,6,Ya,1,Tidak,5,Tidak,3.54
153,Corresponden 153,Universitas 65,Kimia,6,1:00:00,5:00:00,4,Tidak,3,Tidak,9,Ya,3.92
154,Corresponden 154,Universitas 30,Fisioterapi,2,0:00:00,6:00:00,7,Tidak,1,Tidak,5,Tidak,3.4
155,Corresponden 155,Universitas 50,IT,4,19:00:00,6:00:00,9,Tidak,0,Tidak,3,Ya,3.4
156,Corresponden 156,Universitas 40,Teknik Elektro,2,22:00:00,7:00:00,4,Tidak,2,Tidak,3,Tidak,2.88
157,Corresponden 157,Universitas 85,Teknik Informatika,6,22:00:00,5:00:00,4,Ya,1,Tidak,3,Tidak,3.95
158,Corresponden 158,Universitas 86,Fisioterapi,2,22:00:00,6:00:00,12,Tidak,1,Tidak,9,Tidak,3.93
159,Corresponden 159,Universitas 87,Multimedia,6,22:00:00,2:00:00,6,Ya,1,Ya,1,Ya,3.18
160,Corresponden 160,Universitas 88,Ilmu Keperawatan,2,21:00:00,6:00:00,5,Ya,1,Tidak,3,Tidak,3
161,Corresponden 161,Universitas 27,Manajemen,4,22:00:00,5:00:00,6,Tidak,1,Tidak,5,Ya,3.6
162,Corresponden 162,Universitas 36,Psikologi,6,1:00:00,7:00:00,5,Tidak,3,Tidak,3,Tidak,3.75
163,Corresponden 163,Universitas 27,Administrasi Negara,4,22:00:00,5:00:00,3,Tidak,1,Tidak,3,Ya,3.77
164,Corresponden 164,Universitas 28,Akuntansi,8,21:00:00,5:00:00,6,Tidak,1,Tidak,3,Tidak,3.87
165,Corresponden 165,Universitas 89,perhotelan,4,23:00:00,7:00:00,11,Ya,2,Tidak,3,Tidak,3.6
166,Corresponden 166,Universitas 51,Teknik Elektro,2,1:00:00,7:00:00,2,Tidak,2,Tidak,5,Tidak,3.4
167,Corresponden 167,Universitas 90,Teknologi Rekayasa Perangkat Lunak,4,23:00:00,5:00:00,6,Tidak,1,Tidak,9,Tidak,3.76
168,Corresponden 168,Universitas 35,Relasi Industri,8,23:00:00,5:00:00,6,Tidak,0,Tidak,7,Tidak,3.81
169,Corresponden 169,Universitas 31,Pendidikan Guru Sekolah Dasar,7,21:00:00,5:00:00,6,Ya,2,Tidak,9,Ya,3.8
170,Corresponden 170,Universitas 27,Teknik Industri,2,1:00:00,7:00:00,3,Ya,3,Tidak,5,Ya,3.59
171,Corresponden 171,Universitas 91,Teknik Sipil,6,2:00:00,7:00:00,6,Tidak,2,Tidak,9,Tidak,3.75
172,Corresponden 172,Universitas 27,Sistem Informasi,2,1:00:00,5:00:00,8,Tidak,1,Tidak,4,Tidak,3.53
173,Corresponden 173,Universitas 29,Teknik Informatika,2,1:00:00,8:00:00,9,Ya,2,Tidak,5,Tidak,3.35
174,Corresponden 174,Universitas 92,Administrasi Bisnis,6,23:00:00,4:00:00,7,Tidak,1,Tidak,5,Tidak,3.74
175,Corresponden 175,Universitas 92,Administrasi Bisnis,6,23:00:00,4:00:00,7,Tidak,1,Tidak,5,Tidak,3.74
176,Corresponden 176,Universitas 37,Teknologi Informasi,2,23:00:00,6:00:00,4,Tidak,2,Tidak,3,Ya,3.41
177,Corresponden 177,Universitas 93,S1 Software Engineering,5,2:00:00,9:00:00,8,Tidak,0,Tidak,1,Tidak,3.83
178,Corresponden 178,Universitas 94,Fakultas teknik,4,23:00:00,5:00:00,8,Ya,3,Tidak,3,Ya,3.71
179,Corresponden 179,Universitas 27,Fakultas Hukum,8,19:00:00,6:00:00,8,Ya,2,Tidak,1,Ya,3.92
180,Corresponden 180,Universitas 95,Hubungan internasional,2,22:00:00,4:00:00,6,Tidak,3,Tidak,9,Tidak,2.8
181,Corresponden 181,Universitas 64,Pendidikan Agama Islam,6,22:00:00,4:00:00,5,Tidak,2,Tidak,3,Tidak,3.76
182,Corresponden 182,Universitas 96,Akuakultur,6,23:00:00,5:00:00,4,Tidak,1,Tidak,7,Ya,3.48
183,Corresponden 183,Universitas 2,Teknik Informatika,2,2:00:00,9:00:00,12,Ya,2,Tidak,1,Tidak,3.67
184,Corresponden 184,Universitas 97,Teknik Industri,2,1:00:00,5:00:00,3,Ya,2,Tidak,5,Tidak,3.75
185,Corresponden 185,Universitas 98,Ekonomi,8,22:00:00,6:00:00,5,Tidak,3,Tidak,3,Tidak,3.65
186,Corresponden 186,Universitas 36,Antropologi Sosial,8,22:00:00,5:00:00,4,Tidak,0,Tidak,7,Ya,3.69
187,Corresponden 187,Universitas 4,Teknologi Informasi,2,22:00:00,5:00:00,2,Tidak,1,Tidak,1,Tidak,3.78
188,Corresponden 188,Universitas 71,Teknik Mesin,2,23:00:00,6:00:00,5,Tidak,1,Tidak,3,Tidak,3.35
189,Corresponden 189,Universitas 16,Biologi,2,23:00:00,5:00:00,4,Ya,1,Tidak,3,Tidak,3.78
190,Corresponden 190,Universitas 32,Ekonomi Syariah,2,22:00:00,4:00:00,4,Ya,2,Tidak,3,Ya,3.72
191,Corresponden 191,Universitas 29,Teknik Informatika,2,23:00:00,5:00:00,7,Ya,1,Tidak,5,Ya,3.72
192,Corresponden 192,Universitas 61,Biologi,2,23:00:00,7:00:00,5,Tidak,2,Tidak,0,Tidak,2.78
193,Corresponden 193,Universitas 37,Teknologi Informasi,3,23:00:00,5:00:00,5,Tidak,0,Tidak,7,Ya,3.15
194,Corresponden 194,Universitas 84,Teknik Sipil,4,0:00:00,4:00:00,5,Ya,1,Ya,3,Ya,2.95
195,Corresponden 195,Universitas 99,Pendidikan Bahasa Inggris,8,23:00:00,7:00:00,6,Tidak,1,Tidak,5,Tidak,3.5
196,Corresponden 196,Universitas 6,Sistem Informasi,2,22:00:00,5:00:00,5,Tidak,2,Tidak,8,Tidak,3.25
197,Corresponden 197,Universitas 9,Psikologi,2,23:00:00,5:00:00,6,Tidak,2,Tidak,5,Tidak,3.42
198,Corresponden 198,Universitas 38,Ilmu Administrasi Negara,2,23:00:00,4:00:00,3,Tidak,0,Tidak,3,Ya,3
199,Corresponden 199,Universitas 74,Psikologi,8,2:00:00,11:00:00,4,Ya,1,Tidak,3,Ya,3.6
200,Corresponden 200,Universitas 100,Syariah,4,22:00:00,4:00:00,5,Tidak,1,Tidak,5,Tidak,3.85
201,Corresponden 201,Universitas 51,Pendidikan Bahasa Inggris,2,0:00:00,5:00:00,12,Tidak,0,Tidak,1,Tidak,3.65
202,Corresponden 202,Universitas 101,Komunikasi Digital dan Media,2,0:00:00,4:00:00,6,Tidak,1,Tidak,1,Ya,3.53
203,Corresponden 203,Universitas 74,Sistem Informasi,2,23:00:00,5:00:00,4,Tidak,2,Tidak,6,Tidak,3.92
204,Corresponden 204,Universitas 18,Logistik Kelautan,2,21:00:00,4:00:00,4,Tidak,3,Tidak,3,Tidak,3.66
205,Corresponden 205,Universitas 27,Teknik Informatika,2,0:00:00,6:00:00,4,Tidak,2,Tidak,3,Ya,2.9
206,Corresponden 206,Universitas 28,Teknik Industri,7,23:00:00,8:00:00,11,Ya,2,Tidak,1,Tidak,3.2
207,Corresponden 207,Universitas 102,Teknik Sipil,8,21:00:00,5:00:00,6,Tidak,1,Tidak,3,Tidak,3.25
208,Corresponden 208,Universitas 5,Teknik Elektromedik,2,0:00:00,6:00:00,5,Tidak,1,Tidak,1,Tidak,3.54
209,Corresponden 209,Universitas 65,Kimia,2,1:00:00,7:00:00,8,Tidak,0,Tidak,9,Tidak,3.57
210,Corresponden 210,Universitas 103,Peternakan,7,23:00:00,3:00:00,3,Tidak,2,Tidak,3,Ya,4
